d_p (mm),Pressure (MPa),Temperature (C),u_mf (m/s),Dist Name,mean,variance,skew,kurtosis,2nd order moment,median,50% interval low,50% interval high,95% interval low,95% interval high
0.4,0.1,850,0.056755725,Gaussian,0.41405,0.007564597,-0.177537384,-0.626373994,0.179002,0.4025,0.3275,0.475,0.25,0.55
0.4,0.3,300,0.085077519,Gaussian,0.41405,0.007564597,-0.177537384,-0.626373994,0.179002,0.4025,0.3275,0.475,0.25,0.55
0.4,0.3,500,0.06827907,Gaussian,0.41405,0.007564597,-0.177537384,-0.626373994,0.179002,0.4025,0.3275,0.475,0.25,0.55
0.4,0.3,700,0.057705426,Gaussian,0.41405,0.007564597,-0.177537384,-0.626373994,0.179002,0.4025,0.3275,0.475,0.25,0.55
0.4,0.3,850,0.056511628,Gaussian,0.41405,0.007564597,-0.177537384,-0.626373994,0.179002,0.4025,0.3275,0.475,0.25,0.55
0.4,0.5,300,0.084111961,Gaussian,0.41405,0.007564597,-0.177537384,-0.626373994,0.179002,0.4025,0.3275,0.475,0.25,0.55
0.4,0.5,500,0.067990983,Gaussian,0.41405,0.007564597,-0.177537384,-0.626373994,0.179002,0.4025,0.3275,0.475,0.25,0.55
0.4,0.5,700,0.057588956,Gaussian,0.41405,0.007564597,-0.177537384,-0.626373994,0.179002,0.4025,0.3275,0.475,0.25,0.55
0.4,0.5,850,0.056010355,Gaussian,0.41405,0.007564597,-0.177537384,-0.626373994,0.179002,0.4025,0.3275,0.475,0.25,0.55
0.5,0.1,30,0.588712708,Gaussian,1.09695,0.590977447,1.566794584,3.36779902,1.79427675,0.94,0.49,0.94,0.05,2.75
0.5,0.1,200,0.476371936,Gaussian,1.09695,0.590977447,1.566794584,3.36779902,1.79427675,0.94,0.49,0.94,0.05,2.75
0.5,0.1,300,0.425352546,Gaussian,1.09695,0.590977447,1.566794584,3.36779902,1.79427675,0.94,0.49,0.94,0.05,2.75
0.5,0.1,400,0.358179352,Gaussian,1.09695,0.590977447,1.566794584,3.36779902,1.79427675,0.94,0.49,0.94,0.05,2.75
0.5,0.1,500,0.339730376,Gaussian,1.09695,0.590977447,1.566794584,3.36779902,1.79427675,0.94,0.49,0.94,0.05,2.75
0.5,0.1,600,0.319389197,Gaussian,1.09695,0.590977447,1.566794584,3.36779902,1.79427675,0.94,0.49,0.94,0.05,2.75
0.5,0.1,30,0.542353743,Gaussian,0.9608,0.63368036,1.810400213,3.630909252,1.556817,0.49,0.49,0.94,0.225,2.75
0.5,0.1,200,0.429767686,Gaussian,0.9608,0.63368036,1.810400213,3.630909252,1.556817,0.49,0.49,0.94,0.225,2.75
0.5,0.1,300,0.388060385,Gaussian,0.9608,0.63368036,1.810400213,3.630909252,1.556817,0.49,0.49,0.94,0.225,2.75
0.5,0.1,400,0.332634616,Gaussian,0.9608,0.63368036,1.810400213,3.630909252,1.556817,0.49,0.49,0.94,0.225,2.75
0.5,0.1,500,0.309455134,Gaussian,0.9608,0.63368036,1.810400213,3.630909252,1.556817,0.49,0.49,0.94,0.225,2.75
0.5,0.1,600,0.288483221,Gaussian,0.9608,0.63368036,1.810400213,3.630909252,1.556817,0.49,0.49,0.94,0.225,2.75
0.4,0.1,300,0.088160305,Uniform,0.423375,0.011092047,-0.302474412,-1.203941574,0.190338438,0.4025,0.3275,0.55,0.25,0.55
0.4,0.1,500,0.075564885,Uniform,0.423375,0.011092047,-0.302474412,-1.203941574,0.190338438,0.4025,0.3275,0.55,0.25,0.55
0.4,0.1,700,0.063977099,Uniform,0.423375,0.011092047,-0.302474412,-1.203941574,0.190338438,0.4025,0.3275,0.55,0.25,0.55
0.4,0.1,850,0.062465649,Uniform,0.423375,0.011092047,-0.302474412,-1.203941574,0.190338438,0.4025,0.3275,0.55,0.25,0.55
0.4,0.3,300,0.08703876,Uniform,0.423375,0.011092047,-0.302474412,-1.203941574,0.190338438,0.4025,0.3275,0.55,0.25,0.55
0.4,0.3,500,0.074674419,Uniform,0.423375,0.011092047,-0.302474412,-1.203941574,0.190338438,0.4025,0.3275,0.55,0.25,0.55
0.4,0.3,700,0.062224806,Uniform,0.423375,0.011092047,-0.302474412,-1.203941574,0.190338438,0.4025,0.3275,0.55,0.25,0.55
0.4,0.3,850,0.062310078,Uniform,0.423375,0.011092047,-0.302474412,-1.203941574,0.190338438,0.4025,0.3275,0.55,0.25,0.55
0.4,0.5,300,0.084196059,Uniform,0.423375,0.011092047,-0.302474412,-1.203941574,0.190338438,0.4025,0.3275,0.55,0.25,0.55
0.4,0.5,500,0.074382527,Uniform,0.423375,0.011092047,-0.302474412,-1.203941574,0.190338438,0.4025,0.3275,0.55,0.25,0.55
0.4,0.5,700,0.062550548,Uniform,0.423375,0.011092047,-0.302474412,-1.203941574,0.190338438,0.4025,0.3275,0.55,0.25,0.55
0.4,0.5,850,0.062233512,Uniform,0.423375,0.011092047,-0.302474412,-1.203941574,0.190338438,0.4025,0.3275,0.55,0.25,0.55
1,0.1,30,0.753969666,Uniform,1.59725,0.599221188,0.17157811,-1.210282831,3.15042875,1.425,0.94,2.05,0.49,2.75
1,0.1,200,0.594604212,Uniform,1.59725,0.599221188,0.17157811,-1.210282831,3.15042875,1.425,0.94,2.05,0.49,2.75
1,0.1,300,0.513837367,Uniform,1.59725,0.599221188,0.17157811,-1.210282831,3.15042875,1.425,0.94,2.05,0.49,2.75
1,0.1,400,0.4453572,Uniform,1.59725,0.599221188,0.17157811,-1.210282831,3.15042875,1.425,0.94,2.05,0.49,2.75
1,0.1,500,0.366577906,Uniform,1.59725,0.599221188,0.17157811,-1.210282831,3.15042875,1.425,0.94,2.05,0.49,2.75
1,0.1,600,0.308969041,Uniform,1.59725,0.599221188,0.17157811,-1.210282831,3.15042875,1.425,0.94,2.05,0.49,2.75
